seed,frac,L,rank,answer_score,top_distractor_score,bp_idf_mean,lennorm_answer,answer_len,n_docs_with_bp
11,0.0,16,1,26.145615,25.813942,7.195937,1.239842,66,1
11,0.0,32,6,23.926868,25.815103,7.195937,1.479607,82,1
11,0.0,64,7,20.472270,25.817424,7.195937,1.958906,114,1
11,0.0,128,12,15.910390,25.822064,7.195937,2.916587,178,1
11,0.0,256,16,11.029990,25.831331,7.195937,4.828280,306,1
11,0.0,512,17,6.854580,25.849814,7.195937,8.637058,562,1
11,0.0,1024,52,3.916409,25.886578,7.195937,16.196706,1074,1
11,0.25,0,1,28.834115,25.812780,0.000000,1.000000,50,9
11,0.25,8,1,27.428231,25.818005,5.350111,1.119374,58,9
11,0.25,16,1,26.158444,25.823224,5.350111,1.238576,66,9
11,0.25,32,5,23.953423,25.833645,5.350111,1.476468,82,9
11,0.25,64,5,20.525917,25.854425,5.350111,1.950207,114,9
11,0.25,128,10,16.010699,25.895727,5.350111,2.889592,178,9
11,0.25,256,11,11.194327,25.977322,5.350111,4.736628,306,9
11,0.25,512,13,7.085656,26.136589,5.350111,8.308657,562,9
11,0.25,1024,44,4.201259,26.440282,5.350111,15.000586,1074,9
11,1.0,0,1,28.834115,25.812780,0.000000,1.000000,50,31
11,1.0,8,1,27.445314,24.720318,4.151415,1.117848,58,31
11,1.0,16,1,26.193623,23.721326,4.151415,1.235114,66,31
11,1.0,32,1,24.026062,21.959552,4.151415,1.467918,82,31
11,1.0,64,1,20.672106,19.155695,4.151415,1.926734,114,31
11,1.0,128,1,16.282632,15.348427,4.151415,2.818098,178,31
11,1.0,256,1,11.637310,11.157724,4.151415,4.502520,306,31
11,1.0,512,1,7.705416,7.488529,4.151415,7.525269,562,31
11,1.0,1024,22,4.962474,5.392065,4.151415,12.478261,1074,31
12,0.0,0,1,32.779100,26.262698,0.000000,1.000000,50,1
12,0.0,8,1,31.368343,26.263289,7.195937,1.119930,58,1
12,0.0,16,1,30.074207,26.263880,7.195937,1.239842,66,1
12,0.0,32,1,27.782372,26.265061,7.195937,1.479607,82,1
12,0.0,64,7,24.109550,26.267423,7.195937,1.958906,114,1
12,0.0,128,13,19.071809,26.272144,7.195937,2.916587,178,1
12,0.0,256,13,13.458300,26.281572,7.195937,4.828280,306,1
12,0.0,512,24,8.483430,26.300378,7.195937,8.637058,562,1
12,0.0,1024,31,4.893305,26.337782,7.195937,16.196706,1074,1
12,0.25,0,1,32.779100,26.262698,0.000000,1.000000,50,9
12,0.25,8,1,31.374607,26.101109,5.350111,1.119374,58,9
12,0.25,16,1,30.087304,26.106385,5.350111,1.238576,66,9
12,0.25,32,1,27.810116,26.116921,5.350111,1.476468,82,9
12,0.25,64,5,24.167540,26.137928,5.350111,1.950207,114,9
12,0.25,128,10,19.184805,26.179683,5.350111,2.889592,178,9
12,0.25,256,10,13.650931,26.262173,5.350111,4.736628,306,9
12,0.25,512,17,8.762716,26.423187,5.350111,8.308657,562,9
12,0.25,1024,23,5.244472,26.730209,5.350111,15.000586,1074,9
12,1.0,0,1,32.779100,26.262698,0.000000,1.000000,50,31
12,1.0,8,1,31.391805,25.151194,4.151415,1.117848,58,31
12,1.0,16,1,30.123207,24.134789,4.151415,1.235114,66,31
12,1.0,32,1,27.885968,22.342308,4.151415,1.467918,82,31
12,1.0,64,1,24.325410,19.489580,4.151415,1.926734,114,31
12,1.0,128,1,19.490640,15.615951,4.151415,2.818098,178,31
12,1.0,256,1,14.168956,11.352203,4.151415,4.502520,306,31
12,1.0,512,1,9.509524,7.619055,4.151415,7.525269,562,31
12,1.0,1024,1,6.179666,5.322708,4.151415,12.478261,1074,31
13,0.0,0,1,28.090394,26.101429,0.000000,1.000000,50,1
13,0.0,8,1,26.709379,26.101979,7.195937,1.119930,58,1
