regime,sigma,seed,b,q_router,q_conf,q_rand,q_oracle,q_allquant,q_allfull,auc
request_dependent,0.15,4,0.05,0.7687111469092979,0.7707589793616586,0.7445017420180096,0.7779843676771205,0.7304272633680376,1.001818445087343,0.9547785714285715
request_dependent,0.15,4,0.1,0.8045769097945652,0.8052300180777099,0.7554146113689552,0.8190065986706693,0.7304272633680376,1.001818445087343,0.9547785714285715
request_dependent,0.15,4,0.2,0.8664790626553357,0.8644105725133643,0.7824358335765178,0.8830397484186204,0.7304272633680376,1.001818445087343,0.9547785714285715
request_dependent,0.15,4,0.3,0.9137298044400002,0.9103289088871152,0.8153252274148914,0.9274702038428217,0.7304272633680376,1.001818445087343,0.9547785714285715
request_dependent,0.15,4,0.5,0.9697385865657865,0.966267475463241,0.8648771168641942,0.9771715517770407,0.7304272633680376,1.001818445087343,0.9547785714285715
request_dependent,0.15,5,0.05,0.7832955823830597,0.7832247869042006,0.7579331966783104,0.7919855184367468,0.7443901488616465,1.0012795107433425,0.9509357142857143
request_dependent,0.15,5,0.1,0.8183277385512949,0.8184275711932893,0.7740246498929919,0.8323484769844117,0.7443901488616465,1.0012795107433425,0.9509357142857143
request_dependent,0.15,5,0.2,0.8751936182138795,0.877203962298031,0.7958227091794947,0.8930313187102522,0.7443901488616465,1.0012795107433425,0.9509357142857143
request_dependent,0.15,5,0.3,0.9187753696155608,0.9183159053768082,0.820190941179649,0.9342524339757164,0.7443901488616465,1.0012795107433425,0.9509357142857143
request_dependent,0.15,5,0.5,0.9700348147424515,0.9695588528697529,0.870415988148798,0.9781814334520044,0.7443901488616465,1.0012795107433425,0.9509357142857143
request_dependent,0.3,1,0.05,0.7616467582424602,0.7618268793707168,0.7424075563273852,0.7757117534330144,0.7275578183522429,0.9963887505684015,0.9011357142857143
request_dependent,0.3,1,0.1,0.7928728236866708,0.7898042515335097,0.755604750531631,0.817074893720016,0.7275578183522429,0.9963887505684015,0.9011357142857143
request_dependent,0.3,1,0.2,0.8477551284462597,0.8401756937751943,0.7841686221791169,0.8822245791008726,0.7275578183522429,0.9963887505684015,0.9011357142857143
request_dependent,0.3,1,0.3,0.8928559487403619,0.8826410909651402,0.807411763289091,0.9269231820763965,0.7275578183522429,0.9963887505684015,0.9011357142857143
request_dependent,0.3,1,0.5,0.9538010851284934,0.9430440328872947,0.8605237152268559,0.9737794610654256,0.7275578183522429,0.9963887505684015,0.9011357142857143
request_dependent,0.3,2,0.05,0.7610857397202391,0.7581359855404199,0.7395099126666521,0.772919840792281,0.7256472819031295,0.9973854551681046,0.8837380952380952
request_dependent,0.3,2,0.1,0.7928935736236716,0.787100005673531,0.7512074732197594,0.8135412503953608,0.7256472819031295,0.9973854551681046,0.8837380952380952
request_dependent,0.3,2,0.2,0.8485284429962351,0.8349767973976979,0.7798355662782481,0.8778444113327024,0.7256472819031295,0.9973854551681046,0.8837380952380952
request_dependent,0.3,2,0.3,0.8903896518889591,0.8759726406080262,0.8039995227555338,0.9233213041870149,0.7256472819031295,0.9973854551681046,0.8837380952380952
request_dependent,0.3,2,0.5,0.9491300445932414,0.9389070616819116,0.8599319142302636,0.9731090532905694,0.7256472819031295,0.9973854551681046,0.8837380952380952
request_dependent,0.3,3,0.05,0.7729211936385487,0.769503576350379,0.7478021892827874,0.7825402944323098,0.7352438142443464,0.9979956119283011,0.884529761904762
request_dependent,0.3,3,0.1,0.8026857966054852,0.7998117677815966,0.758611219670249,0.8228264780317903,0.7352438142443464,0.9979956119283011,0.884529761904762
request_dependent,0.3,3,0.2,0.8549305516764925,0.8500038820694731,0.786062033068589,0.8867458538794243,0.7352438142443464,0.9979956119283011,0.884529761904762
request_dependent,0.3,3,0.3,0.8930791103802039,0.8871834335709686,0.8157090693827754,0.9296341814382891,0.7352438142443464,0.9979956119283011,0.884529761904762
request_dependent,0.3,3,0.5,0.9532414785475007,0.946304718742158,0.8643742497815512,0.975939916194036,0.7352438142443464,0.9979956119283011,0.884529761904762
request_dependent,0.3,4,0.05,0.7619340266665782,0.7644101512014216,0.7445017420180096,0.7779843676771205,0.7304272633680376,1.001818445087343,0.8858392857142857
request_dependent,0.3,4,0.1,0.7957497170068614,0.796150035377396,0.7554146113689552,0.8190065986706693,0.7304272633680376,1.001818445087343,0.8858392857142857
request_dependent,0.3,4,0.2,0.8508416640859849,0.8421129735276596,0.7824358335765178,0.8830397484186204,0.7304272633680376,1.001818445087343,0.8858392857142857
request_dependent,0.3,4,0.3,0.8945321501756484,0.881058107529042,0.8153252274148914,0.9274702038428217,0.7304272633680376,1.001818445087343,0.8858392857142857
request_dependent,0.3,4,0.5,0.9528151059229962,0.9407690690647383,0.8648771168641942,0.9771715517770407,0.7304272633680376,1.001818445087343,0.8858392857142857
request_dependent,0.3,5,0.05,0.7776048017469273,0.7767789611922015,0.7579331966783104,0.7919855184367468,0.7443901488616465,1.0012795107433425,0.8741428571428571
