item,in_degree,density_kth,denom,num_miss,miss_rate
1881,4,1.718991,2,0,0.000000
1885,8,6.858585,7,0,0.000000
1888,13,0.720180,2,0,0.000000
1896,9,0.858427,3,3,1.000000
1901,17,8.372300,3,0,0.000000
1902,8,11.267710,2,1,0.500000
1903,10,14.961055,3,0,0.000000
1909,18,6.249631,2,0,0.000000
1914,11,2.769778,2,0,0.000000
1915,8,3.136767,4,1,0.250000
1917,8,8.263438,3,0,0.000000
1918,11,10.213757,4,0,0.000000
1920,10,0.809724,2,0,0.000000
1921,13,1.452818,2,0,0.000000
1931,14,3.646536,4,3,0.750000
1933,7,6.821231,3,0,0.000000
1934,10,8.985153,4,2,0.500000
1938,12,2.139977,3,0,0.000000
1940,11,4.860526,3,1,0.333333
1941,13,5.952320,2,0,0.000000
1942,8,8.572997,6,0,0.000000
1943,13,12.446970,3,2,0.666667
1951,16,13.480589,2,1,0.500000
1957,13,7.050559,3,0,0.000000
1962,12,2.087945,4,1,0.250000
1966,6,11.170418,2,0,0.000000
1967,10,12.481903,6,3,0.500000
1969,16,1.302055,6,0,0.000000
1970,13,2.054287,3,0,0.000000
1971,15,3.440967,2,0,0.000000
1972,10,4.876807,3,0,0.000000
1975,13,13.241736,3,0,0.000000
1976,4,0.924317,2,0,0.000000
1977,8,1.357942,2,0,0.000000
1984,13,0.912617,2,1,0.500000
1985,12,1.414811,2,0,0.000000
1987,16,3.166775,4,2,0.500000
1990,16,8.373636,3,0,0.000000
1992,13,0.851935,2,0,0.000000
1993,9,1.635540,2,0,0.000000
1996,12,4.902885,2,0,0.000000
2002,9,2.061203,4,0,0.000000
2003,14,3.293093,4,2,0.500000
2005,8,7.804527,3,0,0.000000
2006,6,10.421381,2,1,0.500000
2008,6,1.022166,2,0,0.000000
2012,12,4.472476,2,2,1.000000
2017,15,1.380077,6,0,0.000000
2019,5,3.855317,2,1,0.500000
2024,10,0.923728,7,0,0.000000
2025,14,1.214727,3,0,0.000000
2028,11,4.112788,3,0,0.000000
2029,15,7.499470,3,0,0.000000
2033,11,1.309949,4,0,0.000000
2037,12,7.457675,2,0,0.000000
2040,13,0.782333,2,0,0.000000
2042,8,2.298797,2,0,0.000000
2043,13,3.300410,6,3,0.500000
2044,9,5.664643,2,0,0.000000
2045,16,6.596099,4,1,0.250000
2047,13,12.379181,4,0,0.000000
2048,11,0.756627,4,0,0.000000
2052,13,4.828162,3,0,0.000000
2055,13,14.800677,2,0,0.000000
2069,15,6.821237,3,0,0.000000
2073,17,1.358641,7,0,0.000000
2075,10,3.167770,3,1,0.333333
2076,9,5.226533,2,2,1.000000
2081,5,1.685745,2,0,0.000000
2082,7,2.464249,3,0,0.000000
2083,10,3.203807,4,3,0.750000
2089,12,1.263949,3,0,0.000000
2091,6,3.071025,4,4,1.000000
2096,9,0.835691,2,0,0.000000
2100,19,4.599239,7,0,0.000000
2101,10,7.023424,2,0,0.000000
2104,12,0.900976,2,0,0.000000
2109,11,6.591204,2,1,0.500000
2113,6,1.491107,6,1,0.166667
2116,11,4.112788,4,0,0.000000
2119,6,16.401000,2,1,0.500000
2121,11,1.208424,10,1,0.100000
2122,14,2.000835,2,1,0.500000
2126,23,8.535098,2,0,0.000000
2133,11,7.428237,2,0,0.000000
2135,12,12.964657,4,0,0.000000
2139,8,3.282980,3,2,0.666667
2140,11,4.764260,3,0,0.000000
2144,9,0.821729,2,0,0.000000
2147,14,3.224178,3,2,0.666667
2149,14,7.573743,4,0,0.000000
2150,13,8.922766,2,0,0.000000
2157,24,5.965484,6,0,0.000000
2158,14,8.971943,2,0,0.000000
2159,15,13.207422,4,0,0.000000
2161,9,1.378698,2,0,0.000000
2162,11,2.175073,4,2,0.500000
2164,9,5.801714,3,3,1.000000
2168,11,0.847981,2,0,0.000000
2169,17,1.200855,6,0,0.000000
2170,21,2.080325,2,0,0.000000
2173,4,7.659565,2,0,0.000000
2176,3,1.002609,2,0,0.000000
2180,12,4.283620,2,0,0.000000
2181,7,6.209356,2,1,0.500000
2185,11,1.282395,3,0,0.000000
2191,14,13.140795,2,1,0.500000
2193,18,1.386506,3,0,0.000000
2209,11,1.453615,2,0,0.000000
2213,21,6.983643,3,1,0.333333
2219,10,3.338202,4,3,0.750000
2224,3,1.015022,2,2,1.000000
2225,17,1.573875,2,0,0.000000
2226,14,2.124789,3,0,0.000000
2229,9,6.828074,4,0,0.000000
2231,8,14.266845,2,0,0.000000
2232,18,0.708418,3,0,0.000000
2237,12,6.907487,2,0,0.000000
2238,15,8.960370,3,0,0.000000
2244,17,4.261797,4,4,1.000000
2245,10,6.632953,2,0,0.000000
2249,9,1.418927,3,0,0.000000
2251,15,3.196582,2,2,1.000000
2254,13,9.221839,3,0,0.000000
2263,9,13.691110,2,0,0.000000
2275,10,3.171133,5,2,0.400000
2276,6,5.265991,2,1,0.500000
2278,10,9.625778,2,0,0.000000
2282,7,2.292745,2,0,0.000000
2283,21,2.880902,4,2,0.500000
2285,11,6.318502,2,0,0.000000
2286,9,9.895605,3,0,0.000000
2295,11,14.695033,2,0,0.000000
2299,12,3.761058,2,0,0.000000
2302,21,9.077204,4,1,0.250000
2304,19,0.726153,4,0,0.000000
2306,16,2.055927,3,0,0.000000
2307,10,2.826915,4,2,0.500000
2308,21,4.220660,9,0,0.000000
