img,variant,klass,pixel_identical,max_abs_diff,vllm_prod_hit,vllm_prod_sha_hit,vllm_pil_hit,sglang_hit
img_0038.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0038.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0039.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0039.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0039.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0039.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0039.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0039.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0039.png,Y1_jpeg_q90,lossy,0,9,0,0,0,0
img_0039.png,Y2_jpeg_q95,lossy,0,7,0,0,0,0
img_0039.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0040.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0040.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0040.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0040.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0040.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0040.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0040.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0040.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0040.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0041.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0041.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0041.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0041.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0041.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0041.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0041.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0041.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0041.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0042.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0042.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0042.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0042.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0042.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0042.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0042.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0042.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0042.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0043.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0043.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0043.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0043.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0043.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0043.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0043.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0043.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0043.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0044.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0044.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0044.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0044.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0044.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0044.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0044.png,Y1_jpeg_q90,lossy,0,5,0,0,0,0
img_0044.png,Y2_jpeg_q95,lossy,0,4,0,0,0,0
img_0044.png,Y3_resize99,lossy,0,2,0,0,0,0
img_0045.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0045.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
