M,B,Dmean,Wmean,wait_dist,rho,seed,policy,util,ceiling,residual_idle,throughput,p50,p99,nbursts
4,4,8,200,exponential,0.0,0,serial,0.03994,0.04225,0.00231,0.15975,5,41,91
4,4,8,200,exponential,0.0,0,cb,0.03994,0.03994,0.00000,0.15975,4,41,91
4,4,8,200,exponential,0.0,0,stepaware,0.03994,0.03994,0.00000,0.15975,4,41,91
4,4,8,200,exponential,0.0,1,serial,0.03787,0.04375,0.00587,0.15150,5,38,86
4,4,8,200,exponential,0.0,1,cb,0.03806,0.03806,0.00000,0.15225,4,29,88
4,4,8,200,exponential,0.0,1,stepaware,0.03806,0.03806,0.00000,0.15225,4,29,88
4,4,8,200,exponential,0.0,2,serial,0.03762,0.04200,0.00438,0.15050,5,36,80
4,4,8,200,exponential,0.0,2,cb,0.03769,0.03769,0.00000,0.15075,4,33,81
4,4,8,200,exponential,0.0,2,stepaware,0.03769,0.03769,0.00000,0.15075,4,33,81
4,4,8,200,exponential,0.0,3,serial,0.03806,0.04312,0.00506,0.15225,7,33,84
4,4,8,200,exponential,0.0,3,cb,0.03806,0.03806,0.00000,0.15225,6,33,84
4,4,8,200,exponential,0.0,3,stepaware,0.03806,0.03806,0.00000,0.15225,6,33,84
4,4,8,200,exponential,0.0,4,serial,0.03775,0.04044,0.00269,0.15100,6,49,79
4,4,8,200,exponential,0.0,4,cb,0.03775,0.03775,0.00000,0.15100,6,43,79
4,4,8,200,exponential,0.0,4,stepaware,0.03775,0.03775,0.00000,0.15100,6,43,79
4,4,8,200,exponential,0.5,0,serial,0.05638,0.06650,0.01013,0.22550,6,41,123
4,4,8,200,exponential,0.5,0,cb,0.05638,0.05638,0.00000,0.22550,6,34,123
4,4,8,200,exponential,0.5,0,stepaware,0.05638,0.05638,0.00000,0.22550,6,34,123
4,4,8,200,exponential,0.5,1,serial,0.01912,0.02094,0.00181,0.07650,5,25,56
4,4,8,200,exponential,0.5,1,cb,0.01912,0.01912,0.00000,0.07650,4,25,56
4,4,8,200,exponential,0.5,1,stepaware,0.01912,0.01912,0.00000,0.07650,4,25,56
4,4,8,200,exponential,0.5,2,serial,0.02856,0.02962,0.00106,0.11425,6,40,67
4,4,8,200,exponential,0.5,2,cb,0.02856,0.02856,0.00000,0.11425,5,40,67
4,4,8,200,exponential,0.5,2,stepaware,0.02856,0.02856,0.00000,0.11425,5,40,67
4,4,8,200,exponential,0.5,3,serial,0.02119,0.02231,0.00112,0.08475,5,39,41
4,4,8,200,exponential,0.5,3,cb,0.02119,0.02119,0.00000,0.08475,5,32,41
4,4,8,200,exponential,0.5,3,stepaware,0.02119,0.02119,0.00000,0.08475,5,32,41
4,4,8,200,exponential,0.5,4,serial,0.02706,0.02987,0.00281,0.10825,6,52,52
4,4,8,200,exponential,0.5,4,cb,0.02706,0.02706,0.00000,0.10825,5,52,52
4,4,8,200,exponential,0.5,4,stepaware,0.02706,0.02706,0.00000,0.10825,5,52,52
4,4,8,200,exponential,0.9,0,serial,0.07119,0.08887,0.01769,0.28475,8,41,137
4,4,8,200,exponential,0.9,0,cb,0.07137,0.07137,0.00000,0.28550,6,30,140
4,4,8,200,exponential,0.9,0,stepaware,0.07137,0.07137,0.00000,0.28550,6,30,140
4,4,8,200,exponential,0.9,1,serial,0.03694,0.03969,0.00275,0.14775,6,38,71
4,4,8,200,exponential,0.9,1,cb,0.03694,0.03694,0.00000,0.14775,6,33,71
4,4,8,200,exponential,0.9,1,stepaware,0.03694,0.03694,0.00000,0.14775,6,33,71
4,4,8,200,exponential,0.9,2,serial,0.06200,0.07175,0.00975,0.24800,7,46,117
4,4,8,200,exponential,0.9,2,cb,0.06225,0.06225,0.00000,0.24900,6,36,118
4,4,8,200,exponential,0.9,2,stepaware,0.06225,0.06225,0.00000,0.24900,6,36,118
4,4,8,200,exponential,0.9,3,serial,0.04337,0.05063,0.00725,0.17350,6,25,105
4,4,8,200,exponential,0.9,3,cb,0.04462,0.04462,0.00000,0.17850,4,25,106
4,4,8,200,exponential,0.9,3,stepaware,0.04462,0.04462,0.00000,0.17850,4,25,106
4,4,8,200,exponential,0.9,4,serial,0.12081,0.17319,0.05237,0.48325,9,56,208
4,4,8,200,exponential,0.9,4,cb,0.12737,0.12737,0.00000,0.50950,6,39,220
4,4,8,200,exponential,0.9,4,stepaware,0.12737,0.12737,0.00000,0.50950,6,39,220
4,4,8,200,lognormal-heavytail,0.0,0,serial,0.03394,0.03862,0.00469,0.13575,5,33,87
4,4,8,200,lognormal-heavytail,0.0,0,cb,0.03394,0.03394,0.00000,0.13575,4,33,87
4,4,8,200,lognormal-heavytail,0.0,0,stepaware,0.03394,0.03394,0.00000,0.13575,4,33,87
4,4,8,200,lognormal-heavytail,0.0,1,serial,0.04725,0.05588,0.00863,0.18900,8,43,84
4,4,8,200,lognormal-heavytail,0.0,1,cb,0.04800,0.04800,0.00000,0.19200,6,43,85
4,4,8,200,lognormal-heavytail,0.0,1,stepaware,0.04800,0.04800,0.00000,0.19200,6,43,85
4,4,8,200,lognormal-heavytail,0.0,2,serial,0.03694,0.04231,0.00538,0.14775,7,35,74
4,4,8,200,lognormal-heavytail,0.0,2,cb,0.03694,0.03694,0.00000,0.14775,6,35,74
4,4,8,200,lognormal-heavytail,0.0,2,stepaware,0.03694,0.03694,0.00000,0.14775,6,35,74
4,4,8,200,lognormal-heavytail,0.0,3,serial,0.03025,0.03231,0.00206,0.12100,5,33,66
4,4,8,200,lognormal-heavytail,0.0,3,cb,0.03062,0.03062,0.00000,0.12250,5,25,66
4,4,8,200,lognormal-heavytail,0.0,3,stepaware,0.03062,0.03062,0.00000,0.12250,5,25,66
4,4,8,200,lognormal-heavytail,0.0,4,serial,0.03094,0.03394,0.00300,0.12375,4,38,74
